                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1796,                 1.5728,                  1.271,                0.11481,                0.14884,                0.08635,                0.05615,                    nan,                    nan,                    nan,              1.785e-05,              1.785e-05,              1.785e-05
                      1,                 1.1752,                 1.4373,                  1.253,                0.13935,                0.13664,                0.08856,                0.05631,                    nan,                    nan,                    nan,             3.4607e-05,             3.4607e-05,             3.4607e-05
                      2,                 1.1861,                 1.4051,                 1.2449,                0.12497,                0.15166,                0.09325,                0.05909,                    nan,                    nan,                    nan,             4.9009e-05,             4.9009e-05,             4.9009e-05
                      3,                 1.1786,                 1.3618,                 1.2609,                0.11032,                0.17078,                0.09297,                0.05837,                    nan,                    nan,                    nan,             6.1054e-05,             6.1054e-05,             6.1054e-05
                      4,                 1.1926,                 1.3816,                 1.2474,                0.11356,                0.19779,                0.10326,                0.06554,                    nan,                    nan,                    nan,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      5,                 1.1382,                 1.3139,                 1.2043,                0.11569,                 0.2019,                0.10314,                 0.0649,                    nan,                    nan,                    nan,             7.8075e-05,             7.8075e-05,             7.8075e-05
                      6,                 1.1912,                 1.4943,                 1.2254,                0.11361,                0.20381,                0.09392,                0.06017,                    nan,                    nan,                    nan,             7.4821e-05,             7.4821e-05,             7.4821e-05
                      7,                 1.1509,                  1.303,                 1.1891,                0.10681,                0.20722,                0.09589,                0.06302,                    nan,                    nan,                    nan,             7.4821e-05,             7.4821e-05,             7.4821e-05
                      8,                 1.1445,                 1.3369,                 1.1789,                0.12549,                0.20468,                0.09899,                0.06494,                    nan,                    nan,                    nan,             6.7458e-05,             6.7458e-05,             6.7458e-05
                      9,                 1.1099,                 1.2526,                 1.1744,                 0.1259,                 0.1918,                0.10173,                0.06675,                    nan,                    nan,                    nan,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     10,                 1.0872,                  1.218,                 1.1711,                0.12999,                0.22049,                0.10735,                0.06963,                    nan,                    nan,                    nan,             5.2732e-05,             5.2732e-05,             5.2732e-05
                     11,                 1.1551,                 1.2661,                 1.2053,                0.13216,                0.22994,                0.10504,                0.06791,                    nan,                    nan,                    nan,             4.5369e-05,             4.5369e-05,             4.5369e-05
                     12,                 1.0691,                 1.2028,                 1.1578,                0.13117,                0.23336,                0.10329,                0.06824,                    nan,                    nan,                    nan,             3.8006e-05,             3.8006e-05,             3.8006e-05
                     13,                 1.1584,                 1.2517,                 1.1822,                0.13439,                0.22492,                0.10753,                0.06829,                    nan,                    nan,                    nan,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     14,                  1.109,                 1.1678,                 1.1734,                0.13475,                  0.238,                0.10646,                0.06784,                    nan,                    nan,                    nan,             2.3279e-05,             2.3279e-05,             2.3279e-05
                     15,                 1.1023,                 1.1822,                 1.1792,                0.13625,                0.22641,                0.10968,                0.07029,                    nan,                    nan,                    nan,             1.5916e-05,             1.5916e-05,             1.5916e-05
