                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1123,                  1.419,                  1.208,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               8.33e-06,               8.33e-06,               8.33e-06
                      1,                 1.1866,                 1.3667,                 1.2401,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.5641e-05,             1.5641e-05,             1.5641e-05
                      2,                 1.1595,                 1.2983,                  1.224,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.0596e-05,             2.0596e-05,             2.0596e-05
                      3,                 1.2109,                 1.3501,                 1.2513,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.3195e-05,             2.3195e-05,             2.3195e-05
                      4,                 1.1125,                 1.2982,                 1.1976,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.3437e-05,             2.3437e-05,             2.3437e-05
                      5,                 1.1722,                  1.289,                 1.2284,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             2.1323e-05,             2.1323e-05,             2.1323e-05
                      6,                 1.1706,                 1.3118,                  1.228,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.6853e-05,             1.6853e-05,             1.6853e-05
                      7,                 1.1252,                 1.2524,                  1.199,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             1.0027e-05,             1.0027e-05,             1.0027e-05
