                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.315,                 1.2925,                 1.2859,                0.37075,                0.18482,                0.18049,                0.08532,                    nan,                    nan,                    nan,             0.00019188,             0.00019188,             0.00019188
                     37,                  1.316,                 1.2924,                   1.28,                0.35461,                0.18392,                0.17003,                0.08174,                    nan,                    nan,                    nan,              0.0001795,              0.0001795,              0.0001795
                     38,                 1.2954,                 1.2681,                 1.2728,                0.37878,                0.18759,                0.17728,                 0.0836,                    nan,                    nan,                    nan,             0.00016713,             0.00016713,             0.00016713
                     39,                 1.3034,                 1.2719,                 1.2786,                0.41366,                 0.1812,                0.18221,                 0.0863,                    nan,                    nan,                    nan,             0.00015475,             0.00015475,             0.00015475
                     40,                 1.2508,                 1.0763,                 1.2483,                0.37576,                0.18934,                0.18256,                0.08513,                    nan,                    nan,                    nan,             0.00014237,             0.00014237,             0.00014237
                     41,                 1.2243,                  1.019,                 1.2339,                0.38549,                 0.1929,                0.17819,                  0.084,                    nan,                    nan,                    nan,                0.00013,                0.00013,                0.00013
                     42,                 1.2104,                 1.0056,                 1.2242,                 0.3496,                0.19204,                0.18055,                0.08646,                    nan,                    nan,                    nan,             0.00011763,             0.00011763,             0.00011763
                     43,                 1.2012,                0.97514,                  1.212,                0.34733,                0.18751,                0.17146,                0.08217,                    nan,                    nan,                    nan,             0.00010525,             0.00010525,             0.00010525
                     44,                 1.1921,                0.96779,                 1.2104,                0.35811,                0.18936,                0.17557,                0.08345,                    nan,                    nan,                    nan,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                  1.183,                0.95034,                 1.2042,                0.35907,                0.18531,                 0.1724,                0.08114,                    nan,                    nan,                    nan,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                 1.1771,                0.93465,                 1.1992,                 0.3578,                0.19069,                 0.1733,                0.08181,                    nan,                    nan,                    nan,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                 1.1656,                 0.9313,                 1.1942,                 0.3605,                0.19029,                0.17871,                0.08468,                    nan,                    nan,                    nan,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                 1.1635,                0.91618,                 1.1912,                0.33395,                0.19421,                0.17532,                0.08259,                    nan,                    nan,                    nan,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                 1.1616,                0.91401,                 1.1882,                0.35322,                0.19418,                0.17941,                0.08479,                    nan,                    nan,                    nan,                3.1e-05,                3.1e-05,                3.1e-05
